orig_sen_idx	condition	sen	counter_sen	token	full_npi	env	labels
28233	(1, 1, 1)	Every guest who saw many children 	Some guest who saw many children 	either	either	quantifier	downward
50087	(1, 1, 1)	The actors who fled from the biggest mall 	The actors who fled from the big mall 	yet	yet	superlative	downward
34656	(1, 1, 1)	The customers have wondered whether the driver had the glasses 	The customers have said that the driver had the glasses 	either	either	questions	downward
30396	(0, 1, 1)	The drivers say that the students were arriving at 	The drivers wonder whether the students were arriving at 	any	any	questions	upward
10095	(1, 1, 1)	If the adults scan the newspaper articles 	While the adults scan the newspaper articles 	either	either	conditional	downward
14674	(0, 1, 1)	Some ladies have imagined that the stories have won in 	No ladies have imagined that the stories have won in 	years	in years	determiner_negation_biclausal	upward
47131	(1, 1, 1)	The lady left the biggest public park that the patient had 	The lady left the big public park that the patient had 	ever	ever	superlative	downward
9817	(0, 1, 1)	While the child has driven to the high schools in 	If the child has driven to the high schools in 	years	in years	conditional	upward
3816	(0, 1, 1)	The waitresses who have always praised children in 	The waitresses who have barely praised children in 	years	in years	adverbs	upward
39083	(1, 1, 1)	A man had not explained that the women were going fishing 	A man had really explained that the women were going fishing 	either	either	sentential_negation_biclausal	downward
6677	(0, 1, 1)	While the children have 	If the children have 	any	any	conditional	upward
25735	(0, 1, 1)	A customer who has biked to some grocery stores 	Every customer who has biked to some grocery stores 	yet	yet	quantifier	upward
10075	(1, 1, 1)	If the guy breaks the dishes 	While the guy breaks the dishes 	either	either	conditional	downward
17084	(0, 1, 1)	Even the patient 	Only the patient 	ever	ever	only	upward
14736	(0, 1, 1)	Some driver has said that the adults talked about the girls in 	No driver has said that the adults talked about the girls in 	years	in years	determiner_negation_biclausal	upward
2458	(0, 1, 1)	The teachers who had often changed at 	The teachers who had seldom changed at 	all	at all	adverbs	upward
29075	(0, 1, 1)	The students say that the drivers 	The students wonder whether the drivers 	ever	ever	questions	upward
28035	(1, 1, 1)	Every guest who is investigating a lot of boys 	Some guest who is investigating a lot of boys 	either	either	quantifier	downward
43339	(0, 1, 1)	The pedestrians were cleaning the forks at 	Were the pedestrians cleaning the forks at 	all	at all	simplequestions	upward
52759	(0, 1, 1)	The waitress who praised the long report 	The waitress who praised the longest report 	either	either	superlative	upward
7720	(1, 1, 1)	If the adults dislike the girls 	While the adults dislike the girls 	yet	yet	conditional	downward
30741	(0, 1, 1)	The waiters say that the cashier approaches 	The waiters wonder whether the cashier approaches 	any	any	questions	upward
40114	(0, 1, 1)	The actors had really imagined that 	The actors had not imagined that 	any	any	sentential_negation_biclausal	upward
46738	(0, 1, 1)	The boys have explored the schools 	Have the boys explored the schools 	either	either	simplequestions	upward
1444	(0, 1, 1)	The teenagers who have often referenced 	The teenagers who have hardly referenced 	any	any	adverbs	upward
51491	(1, 1, 1)	The people who talked about the fastest customers in 	The people who talked about the fast customers in 	years	in years	superlative	downward
43505	(0, 1, 1)	The senator had visited the cashiers at 	Had the senator visited the cashiers at 	all	at all	simplequestions	upward
32218	(1, 1, 1)	The pedestrians have wondered whether the doctor talks about ladies at 	The pedestrians have said that the doctor talks about the ladies at 	all	at all	questions	downward
25674	(0, 1, 1)	More than three students who knew some drivers 	All students who knew some drivers 	yet	yet	quantifier	upward
19120	(1, 1, 1)	Only the child examines plays at 	Even the child examines plays at 	all	at all	only	downward
10050	(1, 1, 1)	If the patients dislike the girls 	While the patients dislike the girls 	either	either	conditional	downward
146	(0, 1, 1)	The doctors sometimes 	The doctors hardly 	ever	ever	adverbs	upward
8807	(1, 1, 1)	If the doctor flees from the dancers at 	While the doctor flees from the dancers at 	all	at all	conditional	downward
49728	(1, 1, 1)	The pedestrians who talked about the youngest cashier at 	The pedestrians who talked about the young cashier at 	all	at all	superlative	downward
6928	(1, 1, 1)	If the man drops by 	While the man drops by 	any	any	conditional	downward
32325	(0, 1, 1)	The doctors have said that the teacher could skate around the cafes at 	The doctors have wondered whether the teacher could skate around cafes at 	all	at all	questions	upward
44276	(0, 1, 1)	The waiter had examined the books in 	Had the waiter examined the books in 	years	in years	simplequestions	upward
13557	(0, 1, 1)	Some waiter was explaining that the senators referenced the commentaries at 	No waiter was explaining that the senators referenced the commentaries at 	all	at all	determiner_negation_biclausal	upward
39174	(0, 1, 1)	The teenagers can really say that the rugs do resemble a newspaper article 	The teenagers can not say that the rugs do resemble a newspaper article 	either	either	sentential_negation_biclausal	upward
13920	(1, 1, 1)	No pedestrian did think that the patients forfeit at 	Some pedestrian did think that the patients forfeit at 	all	at all	determiner_negation_biclausal	downward
29043	(1, 1, 1)	The actors wonder whether the ladies 	The actors say that the ladies 	ever	ever	questions	downward
47153	(1, 1, 1)	The guest bought the cheapest cups that the actress has 	The guest bought the cheap cups that the actress has 	ever	ever	superlative	downward
32826	(0, 1, 1)	The people have said that the teacher is criticizing the boys at 	The people have wondered whether the teacher is criticizing boys at 	all	at all	questions	upward
26948	(0, 1, 1)	Some guests who took more than three reports at 	Any guests who took more than three reports at 	all	at all	quantifier	upward
50488	(0, 1, 1)	The actors who kissed the fast girls 	The actors who kissed the fastest girls 	yet	yet	superlative	upward
17133	(1, 1, 1)	Only the adult would 	Even the adult would 	ever	ever	only	downward
29470	(1, 1, 1)	The guests wonder whether the boys 	The guests say that the boys 	ever	ever	questions	downward
27533	(0, 1, 1)	Many women who had taken cups in 	All women who had taken cups in 	years	in years	quantifier	upward
46670	(1, 1, 1)	Could the men scan the commentaries 	The men could scan the commentaries 	either	either	simplequestions	downward
1816	(1, 1, 1)	The doctors who scarcely talk to 	The doctors who sometimes talk to 	any	any	adverbs	downward
12671	(0, 1, 1)	Some actors imagine that the guests collaborate 	None of the actors imagine that the guests collaborate 	yet	yet	determiner_negation_biclausal	upward
46124	(1, 1, 1)	Is the teenager skated around the grocery stores 	The teenager is skated around the grocery stores 	either	either	simplequestions	downward
37528	(1, 1, 1)	The teenager should not think that the museum does resemble the bank at 	The teenager should really think that the museum does resemble the bank at 	all	at all	sentential_negation_biclausal	downward
33290	(0, 1, 1)	The dancers have said that the actors arrive at schools in 	The dancers have wondered whether the actors arrive at the schools in 	years	in years	questions	upward
25764	(1, 1, 1)	Any doctors who have listened to more than three waiters 	A lot of doctors who have listened to more than three waiters 	yet	yet	quantifier	downward
22584	(0, 1, 1)	Even the ladies collaborate 	Only the ladies collaborate 	either	either	only	upward
13763	(1, 1, 1)	No actors would say that the senators could reference the documentaries at 	Some actors would say that the senators could reference the documentaries at 	all	at all	determiner_negation_biclausal	downward
17166	(0, 1, 1)	Even a woman 	Only a woman 	ever	ever	only	upward
22763	(0, 1, 1)	Even a customer is smiling 	Only a customer is smiling 	either	either	only	upward
3428	(0, 1, 1)	The person who often left teachers in 	The person who barely left teachers in 	years	in years	adverbs	upward
52456	(0, 1, 1)	The person who disliked the happy waitresses 	The person who disliked the happiest waitresses 	either	either	superlative	upward
28276	(0, 1, 1)	Some adult who drops by the hospitals 	Every adult who drops by the hospitals 	either	either	quantifier	upward
32140	(1, 1, 1)	The teachers have wondered whether the adults boycotted art galleries at 	The teachers have said that the adults boycotted the art galleries at 	all	at all	questions	downward
26124	(0, 1, 1)	The person who was insulting many documentaries at 	Every person who was insulting many documentaries at 	all	at all	quantifier	upward
9827	(0, 1, 1)	While the patient has listened to the actors in 	If the patient has listened to the actors in 	years	in years	conditional	upward
47925	(1, 1, 1)	The waitress criticized the cheapest art galleries that the guest had 	The waitress criticized the cheap art galleries that the guest had 	ever	ever	superlative	downward
2609	(1, 1, 1)	The cashiers who scarcely disliked movie theaters at 	The cashiers who always disliked movie theaters at 	all	at all	adverbs	downward
9416	(0, 1, 1)	While the pedestrian had toured the high schools in 	If the pedestrian had toured the high schools in 	years	in years	conditional	upward
46918	(0, 1, 1)	The customers had bought the gloves 	Had the customers bought the gloves 	either	either	simplequestions	upward
51132	(0, 1, 1)	The waitress who resembled the cheap banks in 	The waitress who resembled the cheapest banks in 	years	in years	superlative	upward
9409	(1, 1, 1)	If the dancer had discussed the men in 	While the dancer had discussed the men in 	years	in years	conditional	downward
14128	(0, 1, 1)	Some actresses had said that the newspaper articles praised the boy in 	None of the actresses had said that the newspaper articles praised the boy in 	years	in years	determiner_negation_biclausal	upward
1959	(1, 1, 1)	The lady who should barely talk to 	The lady who should sometimes talk to 	any	any	adverbs	downward
42969	(0, 1, 1)	The cashier is exploring 	Is the cashier exploring 	any	any	simplequestions	upward
43145	(0, 1, 1)	The doctors can escape from the schools at 	Can the doctors escape from the schools at 	all	at all	simplequestions	upward
7419	(1, 1, 1)	If the customers go to the banks 	While the customers go to the banks 	yet	yet	conditional	downward
12318	(1, 1, 1)	No cashier can think that the pants shrank 	Some cashier can think that the pants shrank 	yet	yet	determiner_negation_biclausal	downward
3174	(0, 1, 1)	The guys who had often responded in 	The guys who had scarcely responded in 	years	in years	adverbs	upward
1478	(0, 1, 1)	An adult who should sometimes lift 	An adult who should seldom lift 	any	any	adverbs	upward
32245	(0, 1, 1)	The drivers have said that the boys exit the art galleries at 	The drivers have wondered whether the boys exit art galleries at 	all	at all	questions	upward
38432	(1, 1, 1)	The cashier has not imagined that the men have cleaned the cars in 	The cashier has really imagined that the men have cleaned the cars in 	years	in years	sentential_negation_biclausal	downward
3502	(1, 1, 1)	The driver who seldom sighed in 	The driver who always sighed in 	years	in years	adverbs	downward
6865	(0, 1, 1)	While the boy arrives at 	If the boy arrives at 	any	any	conditional	upward
39375	(1, 1, 1)	A guy has not imagined that the art galleries can resemble an essay 	A guy has really imagined that the art galleries can resemble an essay 	either	either	sentential_negation_biclausal	downward
45467	(0, 1, 1)	The women were arriving at the high schools 	Were the women arriving at the high schools 	yet	yet	simplequestions	upward
27485	(0, 1, 1)	More than three men who had loved some dancers in 	All men who had loved some dancers in 	years	in years	quantifier	upward
6077	(0, 1, 1)	While the students explore 	If the students explore 	any	any	conditional	upward
8886	(0, 1, 1)	While the customers buy the newspaper articles at 	If the customers buy the newspaper articles at 	all	at all	conditional	upward
8809	(1, 1, 1)	If the children visit the customers at 	While the children visit the customers at 	all	at all	conditional	downward
42073	(1, 1, 1)	Had the pedestrian approached 	The pedestrian had approached 	any	any	simplequestions	downward
38641	(1, 1, 1)	The cashiers had not explained that a play has won in 	The cashiers had really explained that a play has won in 	years	in years	sentential_negation_biclausal	downward
14189	(0, 1, 1)	Some child explained that the ladies visited the teachers in 	No child explained that the ladies visited the teachers in 	years	in years	determiner_negation_biclausal	upward
28580	(1, 1, 1)	All waiters who have taken a lot of books 	More than three waiters who have taken a lot of books 	either	either	quantifier	downward
21411	(0, 1, 1)	Even the men surrendered in 	Only the men surrendered in 	years	in years	only	upward
36872	(0, 1, 1)	A teenager had really imagined that the student will wear the shoes 	A teenager had not imagined that the student will wear the shoes 	yet	yet	sentential_negation_biclausal	upward
43211	(0, 1, 1)	The women had been at the restaurants at 	Had the women been at the restaurants at 	all	at all	simplequestions	upward
19119	(1, 1, 1)	Only the customer boycotts hospitals at 	Even the customer boycotts hospitals at 	all	at all	only	downward
10393	(1, 1, 1)	If the men admire the couches 	While the men admire the couches 	either	either	conditional	downward
31917	(1, 1, 1)	The guys have wondered whether the women break forks 	The guys have said that the women break the forks 	yet	yet	questions	downward
9196	(1, 1, 1)	If the waitresses had left the cashiers in 	While the waitresses had left the cashiers in 	years	in years	conditional	downward
25907	(1, 1, 1)	Every girl who was passing many libraries 	The girl who was passing many libraries 	yet	yet	quantifier	downward
47636	(1, 1, 1)	A man can investigate the fastest person that the doctor has 	A man can investigate the fast person that the doctor has 	ever	ever	superlative	downward
9679	(1, 1, 1)	If the actress has driven to the malls in 	While the actress has driven to the malls in 	years	in years	conditional	downward
22919	(1, 1, 1)	Only the pedestrians learn 	Even the pedestrians learn 	either	either	only	downward
34018	(1, 1, 1)	The girls have wondered whether the dancers see the reports 	The girls have said that the dancers see the reports 	either	either	questions	downward
12584	(1, 1, 1)	No girl did imagine that the boys might yell 	Some girl did imagine that the boys might yell 	yet	yet	determiner_negation_biclausal	downward
6813	(1, 1, 1)	If the teacher runs around 	While the teacher runs around 	any	any	conditional	downward
36539	(1, 1, 1)	The girls should not think that the documentary does disagree 	The girls should really think that the documentary does disagree 	yet	yet	sentential_negation_biclausal	downward
10969	(1, 1, 1)	If the pedestrians know the dancers 	While the pedestrians know the dancers 	either	either	conditional	downward
28371	(1, 1, 1)	Every teenager who scans many newspaper articles 	The teenager who scans many newspaper articles 	either	either	quantifier	downward
27193	(0, 1, 1)	Some person who went to more than three public parks in 	Every person who went to more than three public parks in 	years	in years	quantifier	upward
38522	(1, 1, 1)	The girl had not imagined that an adult has retaliated in 	The girl had really imagined that an adult has retaliated in 	years	in years	sentential_negation_biclausal	downward
25186	(0, 1, 1)	A lot of customers who should reference drivers 	Any customers who should reference drivers 	yet	yet	quantifier	upward
40475	(0, 1, 1)	Those waiters do really say that 	Those waiters do not say that 	any	any	sentential_negation_biclausal	upward
12513	(1, 1, 1)	No teachers imagined that the malls resemble the chair 	Some teachers imagined that the malls resemble the chair 	yet	yet	determiner_negation_biclausal	downward
20646	(1, 1, 1)	Only the doctor dislikes guys 	Even the doctor dislikes guys 	yet	yet	only	downward
39693	(1, 1, 1)	The actors can not explain that the actor had ran around the movie theater 	The actors can really explain that the actor had ran around the movie theater 	either	either	sentential_negation_biclausal	downward
38027	(1, 1, 1)	The adults not thought that a patient has admired the cashiers in 	The adults really thought that a patient has admired the cashiers in 	years	in years	sentential_negation_biclausal	downward
13797	(1, 1, 1)	No customers have imagined that the stories have won at 	Some customers have imagined that the stories have won at 	all	at all	determiner_negation_biclausal	downward
39128	(1, 1, 1)	The waitresses were not thinking that the movie theater should resemble the glasses 	The waitresses were really thinking that the movie theater should resemble the glasses 	either	either	sentential_negation_biclausal	downward
7090	(1, 1, 1)	If the waiter hugs the drivers 	While the waiter hugs the drivers 	yet	yet	conditional	downward
51510	(1, 1, 1)	The teacher who left the youngest actors in 	The teacher who left the young actors in 	years	in years	superlative	downward
48756	(0, 1, 1)	The guests had the important dish that 	The guests had the most important dish that 	any	any	superlative	upward
12575	(1, 1, 1)	No actors were saying that the public parks resemble the ladies 	Some actors were saying that the public parks resemble the ladies 	yet	yet	determiner_negation_biclausal	downward
48409	(1, 1, 1)	The essays are insulting the happiest guests that 	The essays are insulting the happy guests that 	any	any	superlative	downward
26154	(1, 1, 1)	Every dancer who talked about more than three stories at 	A dancer who talked about more than three stories at 	all	at all	quantifier	downward
44638	(0, 1, 1)	The lady had referenced the adults in 	Had the lady referenced the adults in 	years	in years	simplequestions	upward
4071	(0, 1, 1)	A man who has sometimes littered 	A man who has barely littered 	either	either	adverbs	upward
6140	(1, 1, 1)	If the senator cares for 	While the senator cares for 	any	any	conditional	downward
19250	(0, 1, 1)	Even a doctor scanned documentaries at 	Only a doctor scanned documentaries at 	all	at all	only	upward
36539	(0, 1, 1)	The girls should really think that the documentary does disagree 	The girls should not think that the documentary does disagree 	yet	yet	sentential_negation_biclausal	upward
27962	(1, 1, 1)	All dancers who brought the reports in 	Many dancers who brought the reports in 	years	in years	quantifier	downward
2674	(1, 1, 1)	A guest who seldom hugs customers at 	A guest who sometimes hugs customers at 	all	at all	adverbs	downward
1741	(1, 1, 1)	The customers who hardly knew 	The customers who often knew 	any	any	adverbs	downward
15557	(1, 1, 1)	None of the patients are saying that the gals flirted 	Some patients are saying that the gals flirted 	either	either	determiner_negation_biclausal	downward
22596	(0, 1, 1)	Even the drivers should react 	Only the drivers should react 	either	either	only	upward
4805	(0, 1, 1)	The cashier who had sometimes benefited 	The cashier who had rarely benefited 	either	either	adverbs	upward
25293	(1, 1, 1)	All waitresses who skated around many banks 	Some waitresses who skated around many banks 	yet	yet	quantifier	downward
22290	(1, 1, 1)	Only the customer approves 	Even the customer approves 	either	either	only	downward
26184	(0, 1, 1)	More than three teenagers who worked with the customers at 	Any teenagers who worked with the customers at 	all	at all	quantifier	upward
9058	(1, 1, 1)	If the driver has been at the restaurants in 	While the driver has been at the restaurants in 	years	in years	conditional	downward
9657	(1, 1, 1)	If the waitress has talked about the grocery stores in 	While the waitress has talked about the grocery stores in 	years	in years	conditional	downward
44945	(1, 1, 1)	Has the guy worked with the pedestrians in 	The guy has worked with the pedestrians in 	years	in years	simplequestions	downward
34180	(1, 1, 1)	The patients have wondered whether the man investigated the banks 	The patients have said that the man investigated the banks 	either	either	questions	downward
41636	(1, 1, 1)	Would the patients 	The patients would 	ever	ever	simplequestions	downward
51921	(1, 1, 1)	The pedestrians who described the nicest doctors in 	The pedestrians who described the nice doctors in 	years	in years	superlative	downward
16599	(0, 1, 1)	Some people might think that 	None of the people might think that 	any	any	determiner_negation_biclausal	upward
49210	(1, 1, 1)	The boy who criticized the most popular book at 	The boy who criticized the popular book at 	all	at all	superlative	downward
15101	(0, 1, 1)	Some student should think that the teachers have explained everything 	No student should think that the teachers have explained everything 	either	either	determiner_negation_biclausal	upward
35936	(0, 1, 1)	A teenager should really 	A teenager should not 	ever	ever	sentential_negation_biclausal	upward
44647	(0, 1, 1)	The doctor has hugged the pedestrians in 	Has the doctor hugged the pedestrians in 	years	in years	simplequestions	upward
22889	(0, 1, 1)	Even a waitress murmured 	Only a waitress murmured 	either	either	only	upward
33093	(1, 1, 1)	The patients have wondered whether the teacher fled from the actors in 	The patients have said that the teacher fled from actors in 	years	in years	questions	downward
19031	(0, 1, 1)	Even the driver could smile at 	Only the driver could smile at 	all	at all	only	upward
26781	(0, 1, 1)	Some man who could care for a lot of guests at 	Every man who could care for a lot of guests at 	all	at all	quantifier	upward
25137	(1, 1, 1)	Every cashier who passed more than three cafes 	The cashier who passed more than three cafes 	yet	yet	quantifier	downward
12396	(1, 1, 1)	No waitresses explain that the pedestrians have arrived at the hospital 	Some waitresses explain that the pedestrians have arrived at the hospital 	yet	yet	determiner_negation_biclausal	downward
4521	(0, 1, 1)	A lady who often shrugged 	A lady who barely shrugged 	either	either	adverbs	upward
38729	(0, 1, 1)	The ladies have really explained that the guy had praised the children in 	The ladies have not explained that the guy had praised the children in 	years	in years	sentential_negation_biclausal	upward
8110	(1, 1, 1)	If the actresses remember the men at 	While the actresses remember the men at 	all	at all	conditional	downward
18343	(1, 1, 1)	Only the guys remember 	Even the guys remember 	any	any	only	downward
20062	(0, 1, 1)	Even the guests have listened to actors 	Only the guests have listened to actors 	yet	yet	only	upward
34091	(1, 1, 1)	The adults have wondered whether the teachers have referenced the essays 	The adults have said that the teachers have referenced the essays 	either	either	questions	downward
3095	(1, 1, 1)	A waitress who has barely cooperated in 	A waitress who has sometimes cooperated in 	years	in years	adverbs	downward
22420	(0, 1, 1)	Even the teenager has washed 	Only the teenager has washed 	either	either	only	upward
40243	(0, 1, 1)	Those actresses do really imagine that 	Those actresses do not imagine that 	any	any	sentential_negation_biclausal	upward
16189	(0, 1, 1)	Some senators thought that 	No senators thought that 	any	any	determiner_negation_biclausal	upward
47443	(0, 1, 1)	A senator escapes from the popular cafe that the teacher had 	A senator escapes from the most popular cafe that the teacher had 	ever	ever	superlative	upward
22167	(1, 1, 1)	Only the men shouted 	Even the men shouted 	either	either	only	downward
14212	(1, 1, 1)	No pedestrian had explained that the reports have discussed a driver in 	Some pedestrian had explained that the reports have discussed a driver in 	years	in years	determiner_negation_biclausal	downward
45612	(0, 1, 1)	The customer has helped the senators 	Has the customer helped the senators 	yet	yet	simplequestions	upward
38643	(0, 1, 1)	The people had really imagined that the teenager had donated in 	The people had not imagined that the teenager had donated in 	years	in years	sentential_negation_biclausal	upward
26020	(0, 1, 1)	A man who has toured some restaurants at 	Every man who has toured some restaurants at 	all	at all	quantifier	upward
33040	(0, 1, 1)	The students have said that the child has passed hospitals in 	The students have wondered whether the child has passed the hospitals in 	years	in years	questions	upward
39531	(0, 1, 1)	The lady can really think that the driver had replied 	The lady can not think that the driver had replied 	either	either	sentential_negation_biclausal	upward
12911	(0, 1, 1)	Some drivers might think that the girls do escape from the waiters 	No drivers might think that the girls do escape from the waiters 	yet	yet	determiner_negation_biclausal	upward
20879	(0, 1, 1)	Even the guests had flirted 	Only the guests had flirted 	yet	yet	only	upward
4005	(1, 1, 1)	A man who should seldom win 	A man who should often win 	either	either	adverbs	downward
46223	(0, 1, 1)	The actor was talking to the actors 	Was the actor talking to the actors 	either	either	simplequestions	upward
7211	(0, 1, 1)	While the patient hates the people 	If the patient hates the people 	yet	yet	conditional	upward
27061	(0, 1, 1)	Some patient who investigated teachers in 	Every patient who investigated teachers in 	years	in years	quantifier	upward
52904	(0, 1, 1)	The teachers who returned to the nice waitresses 	The teachers who returned to the nicest waitresses 	either	either	superlative	upward
26279	(1, 1, 1)	Every woman who skated around more than three hospitals at 	A woman who skated around more than three hospitals at 	all	at all	quantifier	downward
6100	(0, 1, 1)	While the pedestrian lifts 	If the pedestrian lifts 	any	any	conditional	upward
35062	(0, 1, 1)	A customer can really 	A customer can not 	ever	ever	sentential_negation_biclausal	upward
38650	(0, 1, 1)	An actor really thought that the guys have cooked in 	An actor not thought that the guys have cooked in 	years	in years	sentential_negation_biclausal	upward
43287	(0, 1, 1)	The pedestrian is visiting the public parks at 	Is the pedestrian visiting the public parks at 	all	at all	simplequestions	upward
9462	(0, 1, 1)	While the waiter has scanned the essays in 	If the waiter has scanned the essays in 	years	in years	conditional	upward
10904	(1, 1, 1)	If the patients are at the banks 	While the patients are at the banks 	either	either	conditional	downward
45881	(1, 1, 1)	Is the pedestrian selling the couches 	The pedestrian is selling the couches 	yet	yet	simplequestions	downward
15867	(0, 1, 1)	Some guest can think that the gloves resemble the mall 	No guest can think that the gloves resemble the mall 	either	either	determiner_negation_biclausal	upward
48140	(1, 1, 1)	The adults admire the smallest adult that 	The adults admire the small adult that 	any	any	superlative	downward
13030	(1, 1, 1)	No customer said that the gloves resemble the car at 	Some customer said that the gloves resemble the car at 	all	at all	determiner_negation_biclausal	downward
37323	(0, 1, 1)	The boys are really explaining that the actresses are scratching at 	The boys are not explaining that the actresses are scratching at 	all	at all	sentential_negation_biclausal	upward
20968	(0, 1, 1)	Even a guy listened to teachers 	Only a guy listened to teachers 	yet	yet	only	upward
25184	(1, 1, 1)	Any girls who walked through the college campuses 	Many girls who walked through the college campuses 	yet	yet	quantifier	downward
27857	(1, 1, 1)	All guests who have insulted many restaurants in 	A lot of guests who have insulted many restaurants in 	years	in years	quantifier	downward
23017	(0, 1, 1)	Some teenager who works with 	Every teenager who works with 	any	any	quantifier	upward
46484	(1, 1, 1)	Did the guys reference the dancers 	The guys did reference the dancers 	either	either	simplequestions	downward
28224	(0, 1, 1)	The waitresses who were discussing more than three hospitals 	Any waitresses who were discussing more than three hospitals 	either	either	quantifier	upward
34009	(0, 1, 1)	The girls have said that the girl did talk about the adults 	The girls have wondered whether the girl did talk about the adults 	either	either	questions	upward
36703	(0, 1, 1)	An actor had really said that the story had criticized a girl 	An actor had not said that the story had criticized a girl 	yet	yet	sentential_negation_biclausal	upward
31426	(1, 1, 1)	The dancers have wondered whether the children were skated around cafes 	The dancers have said that the children were skated around the cafes 	yet	yet	questions	downward
24832	(0, 1, 1)	Many girls who might 	All girls who might 	ever	ever	quantifier	upward
37870	(1, 1, 1)	The actress did not say that an adult does telephone at 	The actress did really say that an adult does telephone at 	all	at all	sentential_negation_biclausal	downward
44006	(0, 1, 1)	The customers had talked to the ladies in 	Had the customers talked to the ladies in 	years	in years	simplequestions	upward
39306	(0, 1, 1)	The gals have really said that the libraries will resemble the cars 	The gals have not said that the libraries will resemble the cars 	either	either	sentential_negation_biclausal	upward
14595	(0, 1, 1)	Some adults have explained that the waitresses have visited the cashier in 	No adults have explained that the waitresses have visited the cashier in 	years	in years	determiner_negation_biclausal	upward
45581	(1, 1, 1)	Has the waitress boycotted the schools 	The waitress has boycotted the schools 	yet	yet	simplequestions	downward
30921	(1, 1, 1)	The actors wonder whether the boy has hated 	The actors say that the boy has hated 	any	any	questions	downward
30562	(0, 1, 1)	The women say that the actresses should visit 	The women wonder whether the actresses should visit 	any	any	questions	upward
51409	(0, 1, 1)	The ladies who admired the bad woman in 	The ladies who admired the worst woman in 	years	in years	superlative	upward
31761	(1, 1, 1)	The drivers have wondered whether the child has observed guests 	The drivers have said that the child has observed the guests 	yet	yet	questions	downward
23818	(0, 1, 1)	The adult who has seen 	Every adult who has seen 	any	any	quantifier	upward
13261	(0, 1, 1)	Some guy was explaining that the men were running around the malls at 	No guy was explaining that the men were running around the malls at 	all	at all	determiner_negation_biclausal	upward
22499	(0, 1, 1)	Even the teenager has boasted 	Only the teenager has boasted 	either	either	only	upward
10831	(0, 1, 1)	While the teachers go to the malls 	If the teachers go to the malls 	either	either	conditional	upward
32971	(1, 1, 1)	The customers have wondered whether the waiters have newspaper articles at 	The customers have said that the waiters have the newspaper articles at 	all	at all	questions	downward
20708	(1, 1, 1)	Only a guest succeeds 	Even a guest succeeds 	yet	yet	only	downward
32659	(1, 1, 1)	The guys have wondered whether the waiters passed banks at 	The guys have said that the waiters passed the banks at 	all	at all	questions	downward
31949	(0, 1, 1)	The guests have said that the adults should bring the books 	The guests have wondered whether the adults should bring books 	yet	yet	questions	upward
48978	(0, 1, 1)	The men skated around the big high school that 	The men skated around the biggest high school that 	any	any	superlative	upward
8035	(0, 1, 1)	While the dancers skate around the restaurants at 	If the dancers skate around the restaurants at 	all	at all	conditional	upward
39901	(0, 1, 1)	The adult has really imagined that the senators are returning to the mall 	The adult has not imagined that the senators are returning to the mall 	either	either	sentential_negation_biclausal	upward
13186	(1, 1, 1)	No patient was imagining that the teachers care for the driver at 	Some patient was imagining that the teachers care for the driver at 	all	at all	determiner_negation_biclausal	downward
28614	(1, 1, 1)	All cashiers who have examined stories 	Some cashiers who have examined stories 	either	either	quantifier	downward
3930	(0, 1, 1)	The people who had sometimes donated in 	The people who had hardly donated in 	years	in years	adverbs	upward
